show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
tm155702,Movie,The Wizard of Oz,,,US,,1939,G,102 min,"fantasy, family","Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them."
tm83648,Movie,Citizen Kane,,,US,,1941,PG,119 min,drama,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event."
tm77588,Movie,Casablanca,,,US,,1942,PG,102 min,"drama, romance, war","In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications."
tm82363,Movie,The Big Sleep,,,US,,1946,,116 min,"thriller, crime","Private Investigator Philip Marlowe is hired by wealthy General Sternwood regarding a matter involving his youngest daughter Carmen. Before the complex case is over, Marlowe sees murder, blackmail, deception, and what might be love."
tm84701,Movie,The Maltese Falcon,,,US,,1941,,100 min,"thriller, romance, crime","A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette."
tm156463,Movie,Gone with the Wind,,,US,,1939,G,233 min,"war, romance, drama, history","The spoiled daughter of a well-to-do plantation owner is forced to use every means at her disposal to claw her way out of poverty, following Maj. Gen. William Sherman's destructive ""March to the Sea,” during the American Civil War."
ts225761,TV Show,Tom and Jerry,,,US,,1940,,16 Seasons,"animation, comedy, family, action","Tom and Jerry is an American animated franchise and series of comedy short films created in 1940 by William Hanna and Joseph Barbera. Best known for its 161 theatrical short films by Metro-Goldwyn-Mayer, the series centers on a friendship/rivalry (a love-hate relationship) between the title characters Tom, a cat, and Jerry, a mouse. Many shorts also feature several recurring characters."
tm5094,Movie,The Treasure of the Sierra Madre,,,US,,1948,,126 min,"western, drama","Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster."
tm54459,Movie,The Asphalt Jungle,,,US,,1950,,112 min,"drama, thriller, crime","Recently paroled from prison, legendary burglar ""Doc"" Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist."
tm81960,Movie,The Philadelphia Story,,,US,,1940,,113 min,"romance, comedy","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself. Remade as a musical in 1956 as High Society."
tm58806,Movie,Rashomon,,,JP,,1950,,88 min,"drama, crime","Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife."
tm4707,Movie,The Red Shoes,,,GB,,1948,,133 min,"romance, drama, music","In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences."
tm160494,Movie,Stagecoach,,,US,,1939,,96 min,"western, drama","A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process."
tm47834,Movie,M,,,DE,,1931,PG-13,117 min,"thriller, european, crime","In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice."
tm3248,Movie,Freaks,,,US,,1932,,62 min,"drama, horror","A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
tm72527,Movie,The Great Dictator,,,US,,1940,,125 min,"comedy, war, drama",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
tm2346,Movie,The 39 Steps,,,GB,,1935,,86 min,"thriller, crime","Richard Hanney has a rude awakening when a glamorous female spy falls into his bed -- with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as ""The 39 Steps."""
tm8232,Movie,The Lady Vanishes,,,GB,,1938,,96 min,thriller,"On a train headed for England a group of travelers is delayed by an avalanche. Holed up in a hotel in a fictional European country, young Iris befriends elderly Miss Froy. When the train resumes, Iris suffers a bout of unconsciousness and wakes to find the old woman has disappeared. The other passengers ominously deny Miss Froy ever existed, so Iris begins to investigate with another traveler and, as the pair sleuth, romantic sparks fly."
tm5608,Movie,Bicycle Thieves,,,IT,,1948,,88 min,"drama, european",A working man's livelihood is threatened when someone steals his bicycle.
tm3293,Movie,The Passion of Joan of Arc,,,FR,,1928,,110 min,"drama, european, history","A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom."
tm52402,Movie,City Lights,,,US,,1931,G,87 min,"romance, drama, comedy","In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller."
tm87737,Movie,Häxan,,,SE,,1922,,105 min,"horror, european, documentation, fantasy, history","Grave robbing, torture, possessed nuns, and a satanic Sabbath: Benjamin Christensen's legendary film uses a series of dramatic vignettes to explore the scientific hypothesis that the witches of the Middle Ages suffered the same hysteria as turn-of-the-century psychiatric patients. But the film itself is far from serious-- instead it's a witches' brew of the scary, gross, and darkly humorous."
tm137798,Movie,King Kong,,,US,,1933,,104 min,"fantasy, horror, scifi","Adventurous filmmaker, Carl Denham, sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to displayed on Broadway as Kong, the eighth wonder of the world."
tm88256,Movie,Black Narcissus,,,GB,,1947,,101 min,drama,"A group of Anglican nuns, led by Sister Clodagh, are sent to a mountain in the Himalayas. The climate in the region is hostile and the nuns are housed in an odd old palace. They work to establish a school and a hospital, but slowly their focus shifts. Sister Ruth falls for a government worker, Mr. Dean, and begins to question her vow of celibacy. As Sister Ruth obsesses over Mr. Dean, Sister Clodagh becomes immersed in her own memories of love."
tm75346,Movie,To Be or Not to Be,,,US,,1942,G,99 min,"comedy, european, romance, war","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
tm88077,Movie,Great Expectations,,,GB,,1946,,118 min,"romance, drama","In this Dickens adaptation, orphan Pip discovers through lawyer Mr. Jaggers that a mysterious benefactor wishes to ensure that he becomes a gentleman. Reunited with his childhood patron, Miss Havisham, and his first love, the beautiful but emotionally cold Estella, he discovers that the elderly spinster has gone mad from having been left at the altar as a young woman, and has made her charge into a warped, unfeeling heartbreaker."
tm118404,Movie,Modern Times,,,US,,1936,G,87 min,"drama, comedy, romance, family",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
tm117703,Movie,The Life and Death of Colonel Blimp,,,GB,,1943,,163 min,"drama, romance, war","General Candy, who's overseeing an English squad in 1943, is a veteran leader who doesn't have the respect of the men he's training and is considered out-of-touch with what's needed to win the war. But it wasn't always this way. Flashing back to his early career in the Boer War and World War I, we see a dashing young officer whose life has been shaped by three different women, and by a lasting friendship with a German soldier."
